Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,4.494208812713623,140,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.449919725957121,0.47690587414553826,0.9056603773584906
2,1,,4.912126064300537,141,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.4499574024596293,0.4769241790978004,0.9056603773584906
3,2,,8.820588827133179,139,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.4499148907399673,0.47688391850756123,0.9056603773584906
4,3,,5.415259122848511,141,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.449952445154833,0.47692047653338665,0.9056603773584906
5,4,,5.1101086139678955,138,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.4499438702099357,0.47691932856474273,0.9056603773584906
6,5,,6.889354944229126,142,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.44993569611357614,0.476917070818769,0.9056603773584906
7,6,,3.8955636024475098,141,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.44993538337024436,0.47690572298454154,0.9056603773584906
8,7,,4.268995046615601,140,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.4499385625662986,0.4768854398668696,0.9056603773584906
9,8,,4.16141152381897,140,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.44995757489962357,0.47689670048092864,0.9056603773584906
10,9,,3.9622385501861572,142,0.9150943396226415,0.8939393939393939,0.9516129032258065,0.921875,0.4499378061022834,0.47690454149315875,0.9056603773584906
